Country Name,Country Code,Series Name,Series Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.451314661,2.260314203,2.647003203,1.189228129,3.911603416,-2.351100672,-20.73883937,-6.240171992,2.710886791
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14259995441,14497243872,17233051620
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,565.5697304,522.0822156,525.4697709,491.3372214,496.6025043,510.7870634,356.4962141,357.2611528,415.7074171
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2967.692067,2958.785399,2952.998916,2902.392113,2927.245144,2769.685745,2144.16657,1981.710168,1992.424394
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.255800009,4.543970108,4.343190193,..,..,..,..,..,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,33.7538414,..,..,..,..,..,37,..,..
Afghanistan,AFG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,17.08624077,..,..,..,..,..,23,26.59655952,..
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,106.1824188,106.1502838,106.1299973,107.7805328,110.0075073,..,..,..,..
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,53.28514099,53.50634003,55.4021492,57.03929901,..,..,..,..,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,72.4,70,67.6,65.4,63.3,61.3,59.3,57.4,55.5
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.10534763,11.81859016,12.62081718,14.20841885,14.83131981,15.53361416,21.508461,23.0881691,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.803,25.02,25.25,25.495,25.754,26.026,26.314,26.616,26.933
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,3.119959241,2.535719918,2.808337308,2.910809599,2.984389136,3.153609203,2.356097792,1.43570437,2.13559385
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.5,97.7,97.7,93.4,97.7,97.7,97.7,85.3,85.3
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,10.42081714,14.3421528,18.3800424,16.77513628
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..,36.28907741,37.06956358,54.50542721,50.49820699
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.218726375,3.314980684,3.80259872,4.019345617,2.06256754,-3.313716147,8.969553392,4.826688314,3.936625257
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11386853113,11861199831,13019726212,15379509892,15585105131,15241458745,18032010564,19017242586,23547179830
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,3952.803574,4124.05539,4531.032207,5365.489347,5460.428237,5370.778623,6413.283286,6846.426143,8575.171134
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13122.51094,13579.2128,14108.54576,14711.87113,15079.41619,14663.68577,16127.75326,17112.98803,17992.10481
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.437969923,3.962090015,3.611720085,3.152944803,3.916239977,3.342299938,3.022559881,2.744329929,..
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,98.81623077,..,..,..,..,98.5,..
Albania,ALB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,99.04904175,..,..,..,..,98.30000305,..
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,105.688652,105.3247833,105.4149704,104.5680237,102.5895386,100.0209732,97.10749817,96.37123108,93.71381378
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,102.4407272,99.17076111,97.57437134,98.8223877,99.01515198,95.92945099,97.66503143,97.32247162,96.13687897
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9.6,9.4,9.3,9.3,9.4,9.4,9.5,9.4,9.4
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.46411896,6.7293272,6.57848787,6.66844559,6.86214113,7.50389433,7.39913177,6.19368076,..
Albania,ALB,"Population, total",SP.POP.TOTL,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.434,58.421,59.383,60.319,61.229,62.112,62.969,63.799,64.603
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.291205787,-0.159880412,-0.091972294,-0.246732042,-0.426007367,-0.574206959,-0.926918062,-1.21579032,-1.148417638
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,99.9,99.9,100,100,100,100,100,100
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.26739115,28.97789918,31.56979831,31.11401039,30.93613535,22.54075856,31.13302001,37.19708481,38.66508179
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,44.53361519,45.83196365,46.62445122,44.5800603,44.44602493,36.97994088,44.45729608,47.50097911,43.82860281
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.2,3.9,1.5,1.4,0.9,-5,3.8,3.6,4.1
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1.87E+11,1.81E+11,1.90E+11,1.95E+11,1.93E+11,1.65E+11,1.86E+11,2.26E+11,2.48E+11
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4685.059027,4424.98529,4554.66754,4577.210292,4468.453419,3743.541952,4160.559267,4961.552577,5364.02795
Algeria,DZA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,15239.51715,15511.68588,15427.66419,15343.42612,15199.199,14194.15575,14496.86547,14782.2003,15159.32424
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.17633009,6.502108574,5.734823704,5.812751293,5.575365543,6.193917274,5.514032841,4.749246597,5.610157013
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,81.40783691,..,..,..,..,..
Algeria,DZA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,75.32296753,74.21019745,..,..,..,..
Algeria,DZA,"School enrollment, primary (% gross)",SE.PRM.ENRR,110.8422699,110.6881027,109.8377075,108.7034836,107.7751312,110.3305664,106.9955673,108.3439331,108.7616425
Algeria,DZA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,105.9325485,102.7021484
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.159,75.31,75.431,75.555,75.682,73.257,75.208,76.129,76.261
Algeria,DZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,24.9,24.5,24,23.7,23.3,22.9,22.6,22.3,22
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.3343544,6.00079727,5.94846106,5.93238592,5.41731071,5.63831711,5.0110569,3.6230433,..
Algeria,DZA,"Population, total",SP.POP.TOTL,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.848,71.459,72.052,72.629,73.189,73.733,74.261,74.772,75.268
Algeria,DZA,Population growth (annual %),SP.POP.GROW,2.056247957,2.055691112,2.032000608,1.937806233,1.840412914,1.711912165,1.619364602,1.587582107,1.498976012
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.4,99.4,99.5,99.6,99.5,99.7,99.8,100,100
Algeria,DZA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.52814168,18.48668797,20.33367952,23.42310574,20.40794195,15.53520111,23.44436729,30.80897855,23.61953637
Algeria,DZA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,32.67648091,31.27424482,29.48713665,29.01306194,26.09890066,24.85455545,23.39269197,20.39339719,20.06337782
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.44181199,5.269879674,-1.611001621
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,5.95E+11,5.58E+11,6.44E+11,5.25E+11,4.48E+11,3.86E+11,4.87E+11,6.33E+11,6.46E+11
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,13679.6265,12699.96231,14532.50093,11752.79989,9955.974787,8535.59938,10738.01792,13935.68111,14187.48273
